Affinity, Linkage, Result
euclidean, ward, 0.0372807017543859
euclidean, complete, 0.03728070175438596
manhattan, complete, 0.046052631578947366
l1, complete, 0.046052631578947366
l2, complete, 0.03728070175438596
cosine, complete, 0.09429824561403509
euclidean, average, 0.03508771929824561
manhattan, average, 0.09429824561403509
l1, average, 0.09429824561403509
l2, average, 0.03508771929824561
cosine, average, 0.06798245614035088
euclidean, single, 0.05263157894736842
manhattan, single, 0.05263157894736842
l1, single, 0.05263157894736842
l2, single, 0.05263157894736842
cosine, single, 0.05482456140350877
