Affinity, Linkage, Result
euclidean, ward, 0.2736842105263158
euclidean, complete, 0.25263157894736843
manhattan, complete, 0.23157894736842105
l1, complete, 0.23157894736842105
l2, complete, 0.25263157894736843
cosine, complete, 0.22105263157894736
euclidean, average, 0.3684210526315789
manhattan, average, 0.22105263157894736
l1, average, 0.22105263157894736
l2, average, 0.3684210526315789
cosine, average, 0.2736842105263158
euclidean, single, 0.29473684210526313
manhattan, single, 0.29473684210526313
l1, single, 0.29473684210526313
l2, single, 0.29473684210526313
cosine, single, 0.3368421052631579
