Kernel, Class Weight, Accuracy
rbf, balanced, 0.1282727272727256
rbf, 1, 0.29790909090908874
sigmoid, balanced, 0.1590484848484842
sigmoid, 1, 0.2875393939393922
linear, balanced, 0.11870303030302871
linear, 1, 0.3113454545454522
poly2, balanced, 0.12258787878787718
poly2, 1, 0.2858969696969672
poly3, balanced, 0.10818181818181642
poly3, 1, 0.23886060606060464
poly5, balanced, 0.1370909090909091 (50 iter)
poly5, 1, 0.2221818181818181 (50 iter)
poly7, balanced, 0.13563636363636364 (50 iter)
poly7, 1, 0.23345454545454547 (50 iter)
poly9, balanced, 0.1290909090909091 (50 iter)
poly9, 1, 0.2178181818181818 (50 iter)
