Kernel, Class Weight, Accuracy
rbf, balanced, 0.26082222222222273
rbf, 1, 0.3135722222222244
sigmoid, balanced, 0.08087222222222303
sigmoid, 1, 0.2645833333333336
linear, balanced, 0.23817777777777774
linear, 1, 0.27963333333333423
poly2, balanced, 0.25435000000000046
poly2, 1, 0.3068000000000027
poly3, balanced, 0.2604055555555565
poly3, 1, 0.2894333333333348
poly5, balanced, 0.24577222222222178
poly5, 1, 0.2533777777777778
