Affinity, Linkage, Result
euclidean, ward, 0.3368421052631579
euclidean, complete, 0.3157894736842105
manhattan, complete, 0.28421052631578947
l1, complete, 0.28421052631578947
l2, complete, 0.3157894736842105
cosine, complete, 0.3263157894736842
euclidean, average, 0.30526315789473685
manhattan, average, 0.3157894736842105
l1, average, 0.3157894736842105
l2, average, 0.30526315789473685
cosine, average, 0.3263157894736842
euclidean, single, 0.3157894736842105
manhattan, single, 0.3157894736842105
l1, single, 0.3157894736842105
l2, single, 0.3157894736842105
cosine, single, 0.3157894736842105
