Kernel, Class Weight, Accuracy
rbf, blanced, 0.2852644927536256
rbf, 1, 0.31738405797101604
sigmoid, balanced, 0.024362318840579093
sigmoid, 1, 0.24752173913043501
linear, balanced, 0.28296014492753857
linear, 1, 0.3173985507246401
poly 2, balanced, 0.2924855072463784
poly 2, 1, 0.31465579710145136
poly 3, balanced, 0.286713768115944
poly 3, 1, 0.3092862318840597
poly 4, balanced, 0.2762608695652187
poly 4, 1, 0.30372101449275585
poly 5, balanced, 0.27553260869565394
poly 5, 1, 0.30489492753623415
poly 6, balanced, 0.2761630434782625
poly 6, 1, 0.3005579710144954
poly 7, balanced, 0.27297826086956595
poly 7, 1, 0.2980543478260893
poly 8, blanced, 0.27259782608695743
poly 8, 1, 0.2940471014492777
poly 9, balanced, 0.2720724637681169
poly 9, 1, 0.2928188405797125
