Kernel, Class Weight, Accuracy
rbf, balanced, 0.5543933333333229
rbf, 1, 0.7626333333333302
sigmoid, balanced, 0.4902866666666675
sigmoid, 1, 0.7618999999999999
linear, balanced, 0.5002799999999985
linear, 1, 0.7650666666666663
poly2, balanced, 0.5027666666666663
poly2, 1, 0.7602199999999993
poly3, balanced, 0.5296266666666589
poly3, 1, 0.7564533333333314
poly5, balanced, 0.6157799999999956
poly5, 1, 0.7001000000000086
